Program,buy_date,cohort_start_date,days_to_start,month_sale,month_start,month_diff,null_month,one_month,two_month,three_month,four_month,five_month,six_month,seven_month,eigth_month
FS,10/11/2023,12/12/2023,32,11,12,1,0,1,0,0,0,0,0,0,0
DS,7/11/2024,9/12/2024,32,11,12,1,0,1,0,0,0,0,0,0,0
DS,7/11/2024,9/12/2024,32,11,12,1,0,1,0,0,0,0,0,0,0
DS,29/02/2024,1/04/2024,32,2,4,1,0,1,0,0,0,0,0,0,0
FS,31/10/2024,2/12/2024,32,10,12,1,0,1,0,0,0,0,0,0,0
FS,31/10/2024,2/12/2024,32,10,12,1,0,1,0,0,0,0,0,0,0
FS,31/10/2024,2/12/2024,32,10,12,1,0,1,0,0,0,0,0,0,0
DS,26/04/2023,29/05/2023,33,4,5,1,0,1,0,0,0,0,0,0,0
FS,21/08/2024,23/09/2024,33,8,9,1,0,1,0,0,0,0,0,0,0
FS,13/09/2023,16/10/2023,33,9,10,1,0,1,0,0,0,0,0,0,0
FS,25/09/2024,28/10/2024,33,9,10,1,0,1,0,0,0,0,0,0,0
FS,25/09/2024,28/10/2024,33,9,10,1,0,1,0,0,0,0,0,0,0
DS,18/10/2023,20/11/2023,33,10,11,1,0,1,0,0,0,0,0,0,0
DS,16/10/2024,18/11/2024,33,10,11,1,0,1,0,0,0,0,0,0,0
CS,23/10/2024,25/11/2024,33,10,11,1,0,1,0,0,0,0,0,0,0
FS,23/10/2024,25/11/2024,33,10,11,1,0,1,0,0,0,0,0,0,0
DS,30/08/2023,2/10/2023,33,8,10,1,0,1,0,0,0,0,0,0,0
FS,21/03/2023,24/04/2023,34,3,4,1,0,1,0,0,0,0,0,0,0
FS,21/03/2023,24/04/2023,34,3,4,1,0,1,0,0,0,0,0,0,0
FS,31/01/2023,6/03/2023,34,1,3,1,0,1,0,0,0,0,0,0,0
FS,12/12/2023,15/01/2024,34,12,1,1,0,1,0,0,0,0,0,0,0
DS,16/01/2024,19/02/2024,34,1,2,1,0,1,0,0,0,0,0,0,0
FS,24/01/2024,27/02/2024,34,1,2,1,0,1,0,0,0,0,0,0,0
FS,2/04/2024,6/05/2024,34,4,5,1,0,1,0,0,0,0,0,0,0
FS,2/04/2024,6/05/2024,34,4,5,1,0,1,0,0,0,0,0,0,0
FS,2/04/2024,6/05/2024,34,4,5,1,0,1,0,0,0,0,0,0,0
FS,9/04/2024,13/05/2024,34,4,5,1,0,1,0,0,0,0,0,0,0
FS,23/04/2024,27/05/2024,34,4,5,1,0,1,0,0,0,0,0,0,0
FS,14/05/2024,17/06/2024,34,5,6,1,0,1,0,0,0,0,0,0,0
FS,8/08/2023,11/09/2023,34,8,9,1,0,1,0,0,0,0,0,0,0
FS,22/08/2023,25/09/2023,34,8,9,1,0,1,0,0,0,0,0,0,0
DS,3/09/2024,7/10/2024,34,9,10,1,0,1,0,0,0,0,0,0,0
FS,24/09/2024,28/10/2024,34,9,10,1,0,1,0,0,0,0,0,0,0
FS,24/09/2024,28/10/2024,34,9,10,1,0,1,0,0,0,0,0,0,0
FS,25/09/2024,29/10/2024,34,9,10,1,0,1,0,0,0,0,0,0,0
FS,8/11/2023,12/12/2023,34,11,12,1,0,1,0,0,0,0,0,0,0
FS,8/11/2023,12/12/2023,34,11,12,1,0,1,0,0,0,0,0,0,0
FS,30/01/2024,4/03/2024,34,1,3,1,0,1,0,0,0,0,0,0,0
FS,30/04/2024,3/06/2024,34,4,6,1,0,1,0,0,0,0,0,0,0
FS,29/10/2024,2/12/2024,34,10,12,1,0,1,0,0,0,0,0,0,0
FS,9/01/2023,13/02/2023,35,1,2,1,0,1,0,0,0,0,0,0,0
FS,20/02/2023,27/03/2023,35,2,3,1,0,1,0,0,0,0,0,0,0
FS,30/01/2023,6/03/2023,35,1,3,1,0,1,0,0,0,0,0,0,0
FS,30/01/2023,6/03/2023,35,1,3,1,0,1,0,0,0,0,0,0,0
FS,30/01/2023,6/03/2023,35,1,3,1,0,1,0,0,0,0,0,0,0
FS,17/04/2023,22/05/2023,35,4,5,1,0,1,0,0,0,0,0,0,0
FS,18/12/2023,22/01/2024,35,12,1,1,0,1,0,0,0,0,0,0,0
FS,8/01/2024,12/02/2024,35,1,2,1,0,1,0,0,0,0,0,0,0
FS,18/03/2024,22/04/2024,35,3,4,1,0,1,0,0,0,0,0,0,0
FS,18/03/2024,22/04/2024,35,3,4,1,0,1,0,0,0,0,0,0,0
FS,8/04/2024,13/05/2024,35,4,5,1,0,1,0,0,0,0,0,0,0
FS,22/04/2024,27/05/2024,35,4,5,1,0,1,0,0,0,0,0,0,0
FS,22/04/2024,27/05/2024,35,4,5,1,0,1,0,0,0,0,0,0,0
FS,22/04/2024,27/05/2024,35,4,5,1,0,1,0,0,0,0,0,0,0
FS,11/09/2023,16/10/2023,35,9,10,1,0,1,0,0,0,0,0,0,0
FS,2/09/2024,7/10/2024,35,9,10,1,0,1,0,0,0,0,0,0,0
FS,2/09/2024,7/10/2024,35,9,10,1,0,1,0,0,0,0,0,0,0
FS,9/09/2024,14/10/2024,35,9,10,1,0,1,0,0,0,0,0,0,0
FS,9/09/2024,14/10/2024,35,9,10,1,0,1,0,0,0,0,0,0,0
FS,9/09/2024,14/10/2024,35,9,10,1,0,1,0,0,0,0,0,0,0
FS,23/09/2024,28/10/2024,35,9,10,1,0,1,0,0,0,0,0,0,0
FS,24/09/2024,29/10/2024,35,9,10,1,0,1,0,0,0,0,0,0,0
DS,16/10/2023,20/11/2023,35,10,11,1,0,1,0,0,0,0,0,0,0
FS,23/10/2023,27/11/2023,35,10,11,1,0,1,0,0,0,0,0,0,0
DS,14/10/2024,18/11/2024,35,10,11,1,0,1,0,0,0,0,0,0,0
DS,14/10/2024,18/11/2024,35,10,11,1,0,1,0,0,0,0,0,0,0
CS,21/10/2024,25/11/2024,35,10,11,1,0,1,0,0,0,0,0,0,0
FS,21/10/2024,25/11/2024,35,10,11,1,0,1,0,0,0,0,0,0,0
DS,4/11/2024,9/12/2024,35,11,12,1,0,1,0,0,0,0,0,0,0
DS,4/11/2024,9/12/2024,35,11,12,1,0,1,0,0,0,0,0,0,0
FS,29/01/2024,4/03/2024,35,1,3,1,0,1,0,0,0,0,0,0,0
FS,26/02/2024,1/04/2024,35,2,4,1,0,1,0,0,0,0,0,0,0
FS,26/02/2024,1/04/2024,35,2,4,1,0,1,0,0,0,0,0,0,0
FS,26/02/2024,1/04/2024,35,2,4,1,0,1,0,0,0,0,0,0,0
FS,28/10/2024,2/12/2024,35,10,12,1,0,1,0,0,0,0,0,0,0
FS,8/04/2024,14/05/2024,36,4,5,1,0,1,0,0,0,0,0,0,0
FS,6/01/2024,12/02/2024,37,1,2,1,0,1,0,0,0,0,0,0,0
FS,20/04/2024,27/05/2024,37,4,5,1,0,1,0,0,0,0,0,0,0
FS,4/11/2023,11/12/2023,37,11,12,1,0,1,0,0,0,0,0,0,0
FS,27/01/2023,6/03/2023,38,1,3,1,0,1,0,0,0,0,0,0,0
FS,19/05/2023,26/06/2023,38,5,6,1,0,1,0,0,0,0,0,0,0
FS,19/05/2023,26/06/2023,38,5,6,1,0,1,0,0,0,0,0,0,0
DS,12/01/2024,19/02/2024,38,1,2,1,0,1,0,0,0,0,0,0,0
FS,19/04/2024,27/05/2024,38,4,5,1,0,1,0,0,0,0,0,0,0
FS,4/08/2023,11/09/2023,38,8,9,1,0,1,0,0,0,0,0,0,0
FS,6/09/2024,14/10/2024,38,9,10,1,0,1,0,0,0,0,0,0,0
FS,20/09/2024,28/10/2024,38,9,10,1,0,1,0,0,0,0,0,0,0
DS,11/10/2024,18/11/2024,38,10,11,1,0,1,0,0,0,0,0,0,0
FS,18/10/2024,25/11/2024,38,10,11,1,0,1,0,0,0,0,0,0,0
FS,18/10/2024,25/11/2024,38,10,11,1,0,1,0,0,0,0,0,0,0
FS,3/11/2023,11/12/2023,38,11,12,1,0,1,0,0,0,0,0,0,0
FS,26/01/2024,4/03/2024,38,1,3,1,0,1,0,0,0,0,0,0,0
FS,23/02/2024,1/04/2024,38,2,4,1,0,1,0,0,0,0,0,0,0
DS,31/05/2024,8/07/2024,38,5,7,1,0,1,0,0,0,0,0,0,0
FS,30/08/2024,7/10/2024,38,8,10,1,0,1,0,0,0,0,0,0,0
FS,30/08/2024,7/10/2024,38,8,10,1,0,1,0,0,0,0,0,0,0
FS,30/08/2024,7/10/2024,38,8,10,1,0,1,0,0,0,0,0,0,0
FS,25/10/2024,2/12/2024,38,10,12,1,0,1,0,0,0,0,0,0,0
FS,16/02/2023,27/03/2023,39,2,3,1,0,1,0,0,0,0,0,0,0
FS,16/02/2023,27/03/2023,39,2,3,1,0,1,0,0,0,0,0,0,0
FS,3/03/2023,11/04/2023,39,3,4,1,0,1,0,0,0,0,0,0,0
FS,26/01/2023,6/03/2023,39,1,3,1,0,1,0,0,0,0,0,0,0
FS,13/04/2023,22/05/2023,39,4,5,1,0,1,0,0,0,0,0,0,0
